"1","запишите меня на урок"
"1","запиши на занятие"
"4","хочу узнать уровень английского"
"2","а поподробнее"
"3","какие сервисы вы предоставляете"
"2","говори ещё"
"3","какие предлагаете услуги"
"2","говорите детальнее"
"4","проверь свой уровень английского"
"4","проверь какой у меня уровень"
"4","проверить какой у меня уровень"
"2","скажи что-нибудь больше"
"2","расскажи поподробнее"
"1","запись на занятие"
"4","проверить какой уровень английского у меня"
"4","проверь свой уровень"
"2","нужно больше информации"
"4","проверь какой уровень английского у меня"
"1","мне нужно организовать урок"
"2","расскажите подробности"
"2","ещё"
"4","проверь какой уровень у меня"
"1","хочу записаться на занятие"
"3","расскажи о вашей компании"
"1","записаться на урок"
"2","расскажи более подробно"
"3","какие имеются услуги"
"3","что можешь рассказать про услуги"
"4","узнать уровень"
"1","хочу на урок"
"1","записать на занятие"
"3","какие есть сервисы"
"4","проверить уровень"
"3","какие услуги вы предоставляете"
"4","проверьте мой уровень"
"2","говорите поподробнее"
"1","нужна запись на урок"
"4","проверить какой уровень у меня"
"4","проверить уровень английского"
"1","меня нужно записать на занятие"
"3","что у вас есть за сервисы"
"4","проверьте какой уровень английского у меня"
"1","хочу пройти занятие по английскому"
"1","организовать урок"
"1","записать на урок"
"1","надо получить урок по английскому"
"2","подробнее"
"4","проверьте свой уровень английского"
"3","что по услугам"
"3","какие сервисы у вас есть"
"1","организуй урок"
"1","организуйте занятие"
"3","расскажи про услуги"
"4","хочу проверить какой у меня уровень английского"
"4","проверить свой уровень"
"2","говори подробнее"
"2","дайте больше информации"
"3","что скажешь про услуги"
"1","нужно организовать занятие по английскому"
"4","проверь уровень английского"
"3","расскажите о себе"
"1","организуйте мне занятие"
"3","какие услуги предоставляете"
"4","проверьте свой уровень"
"2","скажите что-нибудь детальнее"
"4","узнать какой у меня уровень"
"1","есть свободное время для записи"
"4","узнать какой уровень у меня"
"2","расскажи детальнее"
"1","хочу записаться занятие по английскому"
"1","хочу записаться урок по английскому"
"1","когда можно позаниматься"
"2","говорите ещё"
"1","надо организовать занятие по английскому"
"1","хочу записаться на урок"
"1","нужно пройти урок по английскому"
"2","говори ещё"
"4","узнать свой уровень английского"
